user,pool,block,position,lpvalue
0x7a722003727a5cba44e55d724e0f61f30e7dbbec,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3721008,569,113.6671
0xedf2cfd0a8da2891ea0f2b187eba298a366a100d,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3721008,569,235.2336
0xf5064c2db58dec7214a3eae11d6b12057e26794c,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3721008,569,47.9951
0x6cba6df97ef219d358e5fa858e0f4c384cb8c242,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3721008,569,0.02
0xcfdec61763b26684ce66b4bbd29f6feb575bf09a,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3721008,569,10.067
0x56ebc608fd6b8f8cef2775a3ee0dddaec01a7000,0xe0691e6803d4fa0d8fa8ee8da7667eb4a6b99415,3721008,569,116.9658
0x4c2d848796722c2c471b44b1a290b1125e1da259,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3721008,569,69.1178
0xc76f91038c23ceeadecaac473c1ac5168e100567,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3721008,569,10.0107
0xc9bd6f0529c442c83a4d2f07d06880f9e1eb0dbc,0xdcdf4d52c56b73ee395acc60b1f2bc3f016bf8c5,3721008,569,54.341
0xd83e5a175c8d70c9c46f2b423760fac21eaf3fc0,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3721008,569,5.0254
0x264f9f8a7a8376c393805b109508f20f382da52f,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3721008,569,50.0036
0xd7a6223a189c3910112cc82dfbe1d695c5224331,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3721008,569,40.0029
0xd9aee33795f242a12bb9e687e1533f44ac5bb11c,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3721008,569,0.002
0xebc2896633ec40eb08c6d640d29a59073e75e4e4,0xb5fd40e12a35c6afe8dcc48544082ef2cc371aa5,3721008,569,9.8004
0x0d327122aa540349b9ce2dfdc321b4c654ab510a,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3721008,569,22.2438
0x364e2aea672a791eb516999f16f510b92699a98c,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3721008,569,84.2348
0x43601fa8a032974a0f558f5bd3afe6865ae13a76,0x1a4cadc783f06829df1cff5db0df7288d716c5a1,3721008,569,1201.1997
